name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Interactive and Digital Story Telling,"This session will look at a number of tools for creating compelling interactive, non-linear stories using digital tools. No experience with computer or coding is necessary. There are tools available for those proficient with Java, HTML and CSS, as well as programs for those with only basic computer knowledge. All you need is a desire to express yourself through narrative.",0,,1,,,,Braden Hutchinson,Room 231,30,2
Interactive and Digital Story Telling,"This session will look at a number of tools for creating compelling interactive, non-linear stories using digital tools. No experience with computer or coding is necessary. There are tools available for those proficient with Java, HTML and CSS, as well as programs for those with only basic computer knowledge. All you need is a desire to express yourself through narrative.",0,,2,,,,Braden Hutchinson,Room 231,30,2
Interactive and Digital Story Telling,"This session will look at a number of tools for creating compelling interactive, non-linear stories using digital tools. No experience with computer or coding is necessary. There are tools available for those proficient with Java, HTML and CSS, as well as programs for those with only basic computer knowledge. All you need is a desire to express yourself through narrative.",0,,3,,,,Braden Hutchinson,Room 231,30,2
Interior Design,"We will design your own dream room story boards using visual images, paint samples, fabric swatches.
Come away with a clear idea of what it is like to be an interior designer not on TV! Tap into your creative side while learning about the business of design.",0,,1,,Jen Stewart,,Tracey Woodman,Room 213,30,2
Interior Design,"We will design your own dream room story boards using visual images, paint samples, fabric swatches.
Come away with a clear idea of what it is like to be an interior designer not on TV! Tap into your creative side while learning about the business of design.",0,,2,,Jen Stewart,,Tracey Woodman,Room 213,30,2
Interior Design,"We will design your own dream room story boards using visual images, paint samples, fabric swatches.
Come away with a clear idea of what it is like to be an interior designer not on TV! Tap into your creative side while learning about the business of design.",0,,3,,Jen Stewart,,Tracey Woodman,Room 213,30,2
International Prosecutor, ,0,,1,,Tracie Langford/Ahmed Menla,,Jeanninne Plamondon,Room 208,30,2
International Prosecutor, ,0,,2,,Tracie Langford/Ahmed Menla,,Jeanninne Plamondon,Room 208,30,2
International Prosecutor, ,0,,3,,Tracie Langford/Ahmed Menla,,Jeanninne Plamondon,Room 208,30,2
Inuit Art Forms,Get introduced to Inuit culture with this interactive presentation on Inuit Art Forms! Participants will learn about Traditional Inuit Throatsinging and Drumming and will get a chance to try it too!,0,,2,,Tracie Langford,,Ottawa Inuit Children's Centre,Room 146,30,2
Inuit Games,Inuit need to be strong and agile to live on the land. Come and learn the fun and challenging games that Inuit play to ensure their survival!,0,,3,,Tracie Langford,,Ottawa Inuit Children's Centre,Small Gym,30,2
Jobs and Resumes,Need advice on how to find a part-time job?  Looking to improve your resume writing skills?  This session will be hosted by the Community Employment Resource Centre and will help you get on track towards your first paycheque!,0,,1,,CDR,,Eve Osorio (Community Employment Resource Centre),Room 217,30,2
Jumpstart your Career!  YMCA - Employment (Youth Link),"Jumpstart Your Career - this workshop will cover lifestyle goals, interests, aptitudes, abilities, career cruising, importance of education, lifelong learning, labour market information, personal management skills, social media, networking, budgeting, time management, life-work balance, wellness, etc",0,,1,,Jen Stewart,,Jim Watkins,Room 220,30,2
Jumpstart your Career!  YMCA - Employment (Youth Link),"Jumpstart Your Career - this workshop will cover lifestyle goals, interests, aptitudes, abilities, career cruising, importance of education, lifelong learning, labour market information, personal management skills, social media, networking, budgeting, time management, life-work balance, wellness, etc",0,,2,,Jen Stewart,,Jim Watkins,Room 220,30,2
Jumpstart your Career!  YMCA - Employment (Youth Link),"Jumpstart Your Career - this workshop will cover lifestyle goals, interests, aptitudes, abilities, career cruising, importance of education, lifelong learning, labour market information, personal management skills, social media, networking, budgeting, time management, life-work balance, wellness, etc",0,,3,,Jen Stewart,,Jim Watkins,Room 220,30,2
Leadership Camp Builders Meeting,This session is available to Leadership Camp Builders ONLY.,0,,3,,,,Dave Belcher/Sarah Wattie/Kara Gilby/Francine Menna/Steve Emmell,Room 217,30,2
Math Help Sessions,"Need a little extra help with your Math course?  Choose this session to get some additional support from our Math Department.  One session only per student.  Bring your course notes, textbook and lots of questions!",0,,1,,,,"Math Department:              Mes, Menna, Thompson,  Rizvanolli, Emmell",Room 215,20,2
Math Help Sessions,"Need a little extra help with your Math course?  Choose this session to get some additional support from our Math Department.  One session only per student.  Bring your course notes, textbook and lots of questions!",0,,2,,,,"Math Department:              Mes, Menna, Thompson,  Rizvanolli, Emmell",Room 215,20,2
Math Help Sessions,"Need a little extra help with your Math course?  Choose this session to get some additional support from our Math Department.  One session only per student.  Bring your course notes, textbook and lots of questions!",0,,3,,,,"Math Department:              Mes, Menna, Thompson,  Rizvanolli, Emmell",Room 215,20,2
Minute to Win It Challenge,"One challenge. One minute. Can you do it? This session features multiple 60-second challenges inspired by Minute-to-Win-It, in which you need to complete a tricky task within the allotted time. Join this student-run event for your last period of the day if youÕre looking to have a blast, embarrass yourself or your friends, and maybe learn a few tricks of the trade. Just kidding, we canÕt do half of these challenges either! So come on down, bring your friends, and have some fun in your last session. YouÕve got a minute to win it!",0,,3,,Tracie Langford,,George Liu/Alexandra Proctor/Shyam Singh,Caf,30,2
Nursing as a Career,Interested in a career in nursing?  Marta has years of experience working at CHEO and now as a Nurse Case Manager.  She will share her career experience in the field.,0,,1,,Jen Stewart,,Marta McLean,Room 120,30,2
